,,,,,,,,,,AGE_GROUP,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,65+,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,65+,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,65+,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,<18,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,<18,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,<18,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,65+,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,18-24,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,25-44,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,45-64,,,,,
,,,,,,,,,,65+,,,,,
